Age,Wage
63,518.3424301
46,158.3424301
75,614.3293364
81,511.9345689
34,309.5717713
58,509.5717713
43,200.5432623
27,200.5432623
45,200.5432623
30,200.5432623
48,200.5432623
59,200.5432623
63,200.5432623
54,200.5432623
38,200.5432623
36,200.5432623
43,200.5432623
39,198.3502905
42,198.3502905
40,198.3502905
61,196.1252726
33,196.1252726
37,196.1252726
45,196.1252726
43,196.1252726
55,195.676308
40,193.8668781
53,193.4526069
35,193.4110705
43,191.5736835
51,191.5736835
49,191.5736835
52,191.5736835
46,190.5476786
59,189.2441629
37,189.2441629
72,189.2441629
51,189.2441629
42,186.8766776
50,186.8766776
30,186.8766776
41,186.8766776
38,186.8766776
33,185.9186629
46,185.2833171
47,184.4694642
43,184.1671358
42,182.020621
59,182.020621
29,182.020621
47,182.020621
30,182.020621
44,182.020621
40,182.020621
37,182.020621
50,182.020621
50,182.020621
37,180.7799522
38,180.7799522
41,180.0301971
53,179.5280922
38,179.5280922
36,179.214858
51,178.7006572
28,178.5330504
43,176.9906754
57,176.9896505
51,176.9896505
40,176.9896505
36,176.9896505
48,176.9896505
61,176.9896505
57,176.9896505
38,176.9896505
38,176.9896505
53,176.9896505
38,176.9896505
49,176.9896505
47,176.9896505
31,176.9896505
76,176.9896505
48,176.9896505
52,176.9896505
42,176.9896505
49,176.9896505
40,176.9896505
52,176.9896505
31,176.9896505
45,176.9896505
50,176.9896505
42,176.9896505
45,176.9896505
53,176.9896505
44,176.9896505
54,176.9896505
41,176.9896505
50,176.9896505
37,176.9896505
47,176.9896505
43,176.9896505
37,176.9896505
50,175.9608831
49,175.9329977
39,175.4435493
47,174.402876
55,173.8794933
24,172.2172655
40,171.7651326
47,171.7651326
31,171.7651326
63,171.7651326
43,171.7651326
59,171.7651326
55,171.7651326
38,171.7651326
42,170.6951277
44,170.6951277
62,170.4601659
54,170.1568344
62,169.8003423
44,169.528538
46,169.07354
34,169.07354
37,169.07354
33,167.9811282
43,167.7065756
40,166.8793833
31,166.3249412
54,166.3249412
46,166.3249412
55,166.3249412
45,166.3249412
40,166.3249412
38,166.3249412
46,166.3249412
42,166.3249412
34,166.3249412
49,166.3249412
40,166.3249412
44,166.3249412
51,166.3249412
39,166.3249412
44,166.3249412
49,165.2087738
38,164.6469889
60,164.6469889
45,163.515864
56,163.515864
47,163.515864
48,163.515864
48,163.515864
44,163.515864
36,163.515864
39,163.515864
36,163.515864
54,163.515864
40,163.515864
43,163.515864
40,163.515864
34,163.515864
38,162.9464607
37,161.9149514
47,161.2224955
26,160.6436382
40,160.6424754
29,160.6424754
51,160.6424754
39,160.6424754
48,160.6424754
47,160.6424754
44,160.6424754
44,160.6424754
42,160.6424754
52,160.6424754
48,160.6424754
55,160.6424754
43,160.6424754
46,160.6424754
43,160.6424754
38,160.6424754
53,160.6424754
34,160.6424754
47,160.6424754
44,160.6424754
38,160.6424754
42,160.6424754
45,160.6424754
42,160.6424754
47,160.6424754
49,160.6424754
47,160.6424754
67,160.6424754
38,160.6424754
44,160.6424754
45,160.6424754
40,160.6424754
61,160.6424754
35,160.6354986
57,160.409702
59,160.409702
47,159.4741767
34,159.0520271
42,158.2946214
41,158.2946214
54,158.1736623
35,157.7005277
41,157.7005277
50,157.7005277
46,157.7005277
46,157.7005277
45,157.7005277
57,157.1035043
43,156.5035109
39,156.5035109
53,155.9005061
45,155.9005061
35,154.9902603
41,154.8683672
43,154.685293
52,154.685293
38,154.685293
43,154.685293
40,154.685293
31,154.685293
40,154.685293
35,154.685293
45,154.685293
54,154.685293
60,154.685293
49,154.685293
49,154.685293
58,154.685293
43,154.685293
45,154.685293
40,154.685293
44,154.685293
30,154.0729972
56,154.0729972
60,153.4575153
50,153.4575153
51,153.4575153
43,152.838801
47,152.838801
34,152.838801
49,152.5282169
58,152.2168068
48,152.2168068
48,152.2168068
53,151.8050963
37,151.5914842
47,151.5914842
59,151.5914842
34,151.5914842
67,151.5914842
49,151.5914842
33,151.5914842
51,150.9627835
36,150.6951821
46,150.3306535
47,150.0704769
45,150.0132863
52,149.6950421
58,149.6950421
43,149.6950421
31,149.0558956
52,149.0558956
41,149.0558956
42,148.4144482
28,148.4131591
53,148.4131591
40,148.4131591
38,148.4131591
54,148.4131591
39,148.4131591
45,148.4131591
37,148.4131591
54,148.4131591
51,148.4131591
40,148.4131591
44,148.4131591
36,148.4131591
44,148.4131591
61,148.4131591
34,148.4131591
74,148.4131591
42,148.4131591
38,148.4131591
48,148.4131591
48,148.4131591
47,148.4131591
49,148.4131591
61,148.4131591
51,148.4131591
39,148.4131591
60,148.4131591
55,148.4131591
34,148.4131591
62,148.4131591
47,148.4131591
31,148.4131591
45,148.4131591
59,148.4131591
45,148.4131591
38,148.4131591
45,148.4131591
52,148.4131591
39,148.4131591
50,148.4131591
24,148.4131591
57,148.4131591
45,148.4131591
61,148.4131591
57,148.4131591
40,148.4131591
41,148.4131591
36,148.4131591
58,148.4131591
38,148.4131591
35,148.4131591
44,148.4131591
39,148.4131591
42,148.4131591
34,148.4131591
37,148.4131591
39,148.4131591
47,148.4131591
50,148.4131591
58,148.4131591
41,148.4131591
45,148.4131591
58,148.4131591
46,148.4131591
69,148.4131591
43,148.4131591
54,148.4131591
49,148.4131591
54,148.4131591
53,148.4131591
45,148.4131591
42,148.4131591
32,148.4131591
54,148.4131591
36,148.4131591
30,148.4131591
66,148.4131591
51,148.4131591
56,148.4131591
32,148.4131591
51,148.1550467
42,147.7667762
55,147.1166892
51,147.1166892
34,147.1166892
60,147.1166892
48,147.1166892
47,146.4628385
34,146.4628385
27,145.8051634
40,145.8051634
40,145.8051634
59,145.8051634
39,145.1436012
43,145.1436012
45,145.1436012
52,145.1436012
52,145.1436012
58,145.1436012
36,145.1436012
33,145.1436012
46,145.1436012
61,145.1436012
38,145.1436012
42,145.1436012
47,145.1436012
49,145.1436012
34,145.1436012
47,145.1436012
34,145.1436012
48,145.1436012
39,145.1436012
33,144.944365
28,144.4794227
41,144.4780877
44,144.4780877
39,144.4780877
35,144.4780877
46,144.4780877
47,144.4780877
59,144.2107612
50,144.2047389
49,144.1706065
50,143.9273594
61,143.8085568
50,143.8085568
46,143.6997101
47,143.3253181
32,143.1349408
50,143.1349408
45,143.1349408
39,143.1349408
53,143.1349408
44,143.1349408
48,143.1349408
49,143.1349408
55,142.6344728
45,142.4571699
56,142.4571699
30,141.7758565
43,141.7751723
49,141.7751723
56,141.7751723
28,141.7751723
40,141.7751723
28,141.7751723
49,141.7751723
38,141.7751723
50,141.7751723
55,141.7751723
50,141.7751723
44,141.7751723
38,141.7751723
57,141.7751723
28,141.7751723
35,141.7751723
54,141.7751723
42,141.7751723
61,141.7751723
43,141.7751723
21,141.7751723
38,141.7751723
30,141.7751723
53,141.7751723
47,141.7751723
59,141.7751723
40,141.7751723
44,141.7751723
48,141.7751723
40,141.7751723
56,141.7751723
46,141.7751723
49,141.7751723
44,141.7751723
46,141.7751723
50,141.0888744
45,140.3982002
40,140.3982002
43,140.3982002
36,140.3982002
36,140.3982002
56,140.3982002
56,140.3982002
36,140.0511976
28,139.7030715
52,139.7030715
33,139.7030715
46,139.7030715
31,139.7030715
46,139.6758702
56,139.3538118
59,139.2137881
58,139.2137881
49,139.1563254
59,139.0034081
35,139.0034081
38,139.0034081
51,139.0034081
54,139.0034081
40,138.6391722
57,138.610994
58,138.2991269
30,138.2991269
49,138.2991269
36,138.2991269
33,138.2991269
52,138.2991269
60,138.2991269
42,138.2991269
45,138.2991269
30,138.2991269
51,138.2991269
29,138.2991269
60,138.2991269
32,138.2991269
42,138.2991269
48,138.2991269
43,138.2991269
66,138.2991269
56,138.2991269
60,138.2991269
35,138.2991269
53,138.2991269
52,137.5901428
29,137.5901428
55,137.5901428
34,137.5901428
35,137.5901428
35,137.4812478
38,136.8763676
53,136.8763676
38,136.8763676
63,136.8763676
33,136.8763676
40,136.8763676
40,136.8763676
28,136.8763676
52,136.8763676
34,136.5176552
63,136.3039976
40,136.1577108
33,136.1577108
47,136.1577108
44,136.1577108
40,136.1577108
61,136.1577108
58,135.5980598
41,134.8515263
39,134.7053751
54,134.7053751
46,134.7053751
47,134.7053751
47,134.7053751
49,134.7053751
43,134.7053751
43,134.7053751
38,134.7053751
39,134.7053751
63,134.7053751
56,134.7053751
45,134.7053751
56,134.7053751
34,134.7053751
34,134.7053751
46,134.7053751
42,134.7053751
47,134.7053751
50,134.7053751
38,134.7053751
32,134.7053751
33,134.7053751
42,134.7053751
44,134.7053751
50,134.7053751
52,134.7053751
53,134.7053751
58,134.7053751
36,134.7053751
52,134.7053751
36,134.7053751
52,134.7053751
34,134.7053751
54,134.7053751
31,134.7053751
43,134.7053751
55,134.7053751
56,134.7053751
42,134.7053751
39,134.7053751
49,134.7053751
50,134.7053751
33,134.7053751
57,134.7053751
63,134.7053751
43,134.7053751
53,134.7053751
37,134.7053751
43,134.2656772
42,133.9715001
64,133.9715001
52,133.9715001
31,133.3806077
48,133.2323508
40,133.2323508
45,133.2323508
53,133.2323508
31,133.2323508
51,133.2323508
50,133.2323508
41,133.2323508
54,133.2323508
27,133.2323508
46,133.2323508
32,133.2323508
52,133.2323508
40,133.2323508
43,132.8607653
29,132.8607653
52,132.4878211
56,132.4878211
54,132.4878211
41,132.4878211
44,132.4878211
50,132.4878211
36,132.3524777
36,131.7378012
40,131.7378012
37,131.7378012
44,131.7378012
30,131.7378012
38,131.7378012
35,131.6526987
35,131.621803
47,131.2245938
49,131.1943236
45,130.9836943
45,130.9821774
53,130.9821774
39,130.9821774
29,130.9821774
45,130.9821774
41,130.9821774
45,130.9821774
61,130.9821774
45,130.9821774
56,130.9821774
61,130.9821774
57,130.9821774
25,130.9821774
48,130.9821774
47,130.9821774
62,130.9821774
